,,,KOr74,GENETREEr79,OMAr2014,TREEFAMr9,ORTHODBv8,EggNOGv4,HOGENOMr6,HOVERGENr49,COGv2014,HumPhylomeDBv4
,,,NA,ENSGT00550000076284,NA,NA,NA,NOG247107,HOG000060079,HBG095396,NA,NA
ACC,ENTRY_NAME,Db_count,,,,,,,,,,
A8MQB3,CQ051_HUMAN,4.0,,1,,,,1,1,1,,
H9KYL3,H9KYL3_CALJA,1.0,,1,,,,,,,,
H2RI07,H2RI07_PANTR,1.0,,1,,,,,,,,
H2RFE3,H2RFE3_PANTR,1.0,,1,,,,,,,,
H2NVD3,H2NVD3_PONAB,1.0,,1,,,,,,,,
H0YGX3,H0YGX3_HUMAN,1.0,,1,,,,,,,,
G1RSV6,G1RSV6_NOMLE,1.0,,1,,,,,,,,
A0A096NZX9,A0A096NZX9_PAPAN,1.0,,1,,,,,,,,
